Name,GEOID20,TAPERSONS,total_TAPERSONS
Adams,530330032011000,14,15942
Adams,530330032011001,0,15942
Adams,530330032011002,11,15942
Adams,530330032011003,13,15942
Adams,530330032011004,0,15942
Adams,530330032011005,176,15942
Adams,530330032011006,0,15942
Adams,530330032011007,136,15942
Adams,530330032011008,122,15942
Adams,530330032011009,60,15942
Adams,530330032011010,36,15942
Adams,530330032011015,32,15942
Adams,530330032011016,24,15942
Adams,530330032011017,39,15942
Adams,530330032011018,12,15942
Adams,530330032011019,15,15942
Adams,530330032011020,0,15942
Adams,530330032011022,202,15942
Adams,530330032011026,0,15942
Adams,530330032011027,0,15942
Adams,530330032011028,0,15942
Adams,530330032013000,290,15942
Adams,530330032013001,184,15942
Adams,530330032013002,162,15942
Adams,530330032013003,267,15942
Adams,530330032013004,463,15942
Adams,530330032013005,124,15942
Adams,530330032021014,56,15942
Adams,530330032021015,58,15942
Adams,530330032021016,70,15942
Adams,530330032021017,37,15942
Adams,530330032021019,119,15942
Adams,530330032021020,90,15942
Adams,530330032022000,120,15942
Adams,530330032022001,121,15942
Adams,530330032022002,65,15942
Adams,530330032022003,47,15942
Adams,530330032022004,55,15942
Adams,530330032022005,64,15942
Adams,530330032022006,65,15942
Adams,530330032022007,14,15942
Adams,530330032022008,130,15942
Adams,530330032022009,126,15942
Adams,530330032022010,139,15942
Adams,530330032022011,51,15942
Adams,530330032022012,86,15942
Adams,530330032022013,53,15942
Adams,530330032022014,119,15942
Adams,530330032022015,202,15942
Adams,530330032022016,79,15942
Adams,530330032022017,206,15942
Adams,530330032023010,45,15942
Adams,530330032023011,42,15942
Adams,530330032023012,77,15942
Adams,530330032023016,77,15942
Adams,530330032023019,48,15942
Adams,530330032023020,50,15942
Adams,530330032023023,61,15942
Adams,530330032023026,22,15942
Adams,530330032023027,25,15942
Adams,530330033011009,55,15942
Adams,530330033011010,76,15942
Adams,530330033011011,83,15942
Adams,530330033011012,82,15942
Adams,530330033011013,103,15942
Adams,530330033011014,188,15942
Adams,530330033012000,148,15942
Adams,530330033012001,167,15942
Adams,530330033012002,114,15942
Adams,530330033012003,145,15942
Adams,530330033012004,155,15942
Adams,530330033012005,103,15942
Adams,530330033012006,104,15942
Adams,530330033012007,131,15942
Adams,530330033012008,142,15942
Adams,530330033012009,171,15942
Adams,530330033012010,97,15942
Adams,530330033012011,131,15942
Adams,530330033013011,232,15942
Adams,530330033013012,60,15942
Adams,530330033013013,64,15942
Adams,530330033013014,98,15942
Adams,530330033013015,138,15942
Adams,530330047011000,179,15942
Adams,530330047011001,154,15942
Adams,530330047011002,288,15942
Adams,530330047011003,210,15942
Adams,530330047011004,269,15942
Adams,530330047011005,237,15942
Adams,530330047012000,380,15942
Adams,530330047012001,233,15942
Adams,530330047012002,10,15942
Adams,530330047012003,99,15942
Adams,530330047012004,0,15942
Adams,530330047012005,17,15942
Adams,530330047012006,177,15942
Adams,530330047012007,12,15942
Adams,530330047012008,8,15942
Adams,530330047012009,4,15942
Adams,530330047012010,0,15942
Adams,530330047012011,157,15942
Adams,530330047012012,15,15942
Adams,530330047012013,64,15942
Adams,530330047012014,23,15942
Adams,530330047012015,9,15942
Adams,530330047012016,6,15942
Adams,530330047013000,17,15942
Adams,530330047013001,0,15942
Adams,530330047013002,407,15942
Adams,530330047013003,0,15942
Adams,530330047013004,19,15942
Adams,530330047013005,358,15942
Adams,530330047013006,106,15942
Adams,530330047013007,104,15942
Adams,530330047013008,46,15942
Adams,530330047013009,34,15942
Adams,530330047013010,0,15942
Adams,530330047021002,108,15942
Adams,530330047021003,215,15942
Adams,530330047021004,246,15942
Adams,530330047021005,137,15942
Adams,530330047021010,139,15942
Adams,530330047022002,428,15942
Adams,530330047022003,675,15942
Adams,530330047023000,354,15942
Adams,530330047023001,640,15942
Adams,530330047023002,365,15942
Adams,530330047032002,368,15942
Adams,530330047032003,122,15942
Adams,530330047032008,217,15942
Adams,530330047032009,266,15942
Adams,530330047032014,48,15942
Adams,530330047032015,10,15942
Adams,530330047032022,9,15942
Adams,530330047032023,18,15942
Adams,530330047032027,14,15942
Adams,530330047032028,0,15942
Adams,530330057005000,0,15942
Adams,530330057005001,133,15942
Alki,530330096002000,0,7450
Alki,530330096002001,0,7450
Alki,530330096002004,693,7450
Alki,530330096002005,37,7450
Alki,530330096002006,20,7450
Alki,530330096002008,39,7450
Alki,530330096002009,75,7450
Alki,530330096002010,0,7450
Alki,530330096002011,198,7450
Alki,530330096002012,0,7450
Alki,530330096002013,0,7450
Alki,530330096002014,0,7450
Alki,530330097011000,0,7450
Alki,530330097011001,0,7450
Alki,530330097011002,0,7450
Alki,530330097011003,89,7450
Alki,530330097011004,30,7450
Alki,530330097011005,186,7450
Alki,530330097011006,78,7450
Alki,530330097011007,0,7450
Alki,530330097011008,179,7450
Alki,530330097011009,75,7450
Alki,530330097011010,89,7450
Alki,530330097011011,188,7450
Alki,530330097011012,140,7450
Alki,530330097011013,43,7450
Alki,530330097011014,144,7450
Alki,530330097011015,89,7450
Alki,530330097011016,29,7450
Alki,530330097011017,9,7450
Alki,530330097011018,26,7450
Alki,530330097011019,19,7450
Alki,530330097012000,59,7450
Alki,530330097012001,27,7450
Alki,530330097012002,68,7450
Alki,530330097012003,35,7450
Alki,530330097012004,29,7450
Alki,530330097012005,26,7450
Alki,530330097012006,61,7450
Alki,530330097012007,23,7450
Alki,530330097012008,20,7450
Alki,530330097012009,43,7450
Alki,530330097012010,54,7450
Alki,530330097012011,118,7450
Alki,530330097012012,83,7450
Alki,530330097012013,0,7450
Alki,530330097012014,55,7450
Alki,530330097012015,165,7450
Alki,530330097012016,13,7450
Alki,530330097012017,58,7450
Alki,530330097012018,77,7450
Alki,530330097012019,5,7450
Alki,530330097012020,21,7450
Alki,530330097012021,57,7450
Alki,530330097012022,54,7450
Alki,530330097012023,72,7450
Alki,530330097012024,13,7450
Alki,530330097012025,82,7450
Alki,530330097012026,19,7450
Alki,530330097012027,108,7450
Alki,530330097012028,54,7450
Alki,530330097012029,62,7450
Alki,530330097012030,57,7450
Alki,530330097013000,0,7450
Alki,530330097013001,0,7450
Alki,530330097013002,0,7450
Alki,530330097013003,27,7450
Alki,530330097013004,46,7450
Alki,530330097013005,45,7450
Alki,530330097013006,0,7450
Alki,530330097013007,0,7450
Alki,530330097013008,0,7450
Alki,530330097013009,181,7450
Alki,530330097013010,204,7450
Alki,530330097013011,225,7450
Alki,530330097013012,92,7450
Alki,530330097013013,94,7450
Alki,530330097013014,33,7450
Alki,530330097013015,121,7450
Alki,530330097013016,0,7450
Alki,530330097013017,75,7450
Alki,530330097013018,54,7450
Alki,530330097013019,0,7450
Alki,530330097013020,0,7450
Alki,530330097013021,35,7450
Alki,530330097013022,155,7450
Alki,530330097013023,46,7450
Alki,530330097013024,26,7450
Alki,530330097014000,124,7450
Alki,530330097014001,135,7450
Alki,530330097014002,69,7450
Alki,530330097014003,28,7450
Alki,530330097014004,22,7450
Alki,530330097014005,131,7450
Alki,530330097014006,56,7450
Alki,530330097014007,86,7450
Alki,530330097014008,58,7450
Alki,530330097014009,59,7450
Alki,530330097014010,60,7450
Alki,530330097014011,70,7450
Alki,530330097014012,62,7450
Alki,530330097014013,55,7450
Alki,530330097014014,205,7450
Alki,530330097014015,65,7450
Alki,530330097014016,0,7450
Alki,530330097014017,66,7450
Alki,530330097014018,79,7450
Alki,530330097014019,37,7450
Alki,530330097024011,78,7450
Alki,530330097024012,41,7450
Alki,530330097024013,77,7450
Alki,530330097024014,57,7450
Alki,530330097024015,28,7450
Alki,530330097024024,71,7450
Alki,530330097024025,79,7450
Arbor Heights,530330120001000,54,6563
Arbor Heights,530330120001001,124,6563
Arbor Heights,530330120001002,19,6563
Arbor Heights,530330120001003,57,6563
Arbor Heights,530330120001004,56,6563
Arbor Heights,530330120001005,38,6563
Arbor Heights,530330120001006,26,6563
Arbor Heights,530330120001007,121,6563
Arbor Heights,530330120001008,74,6563
Arbor Heights,530330120001009,61,6563
Arbor Heights,530330120001010,58,6563
Arbor Heights,530330120001011,81,6563
Arbor Heights,530330120001012,38,6563
Arbor Heights,530330120001013,56,6563
Arbor Heights,530330120001014,33,6563
Arbor Heights,530330120001015,44,6563
Arbor Heights,530330120001016,112,6563
Arbor Heights,530330120001017,30,6563
Arbor Heights,530330120001018,42,6563
Arbor Heights,530330120001019,61,6563
Arbor Heights,530330120002000,111,6563
Arbor Heights,530330120002001,21,6563
Arbor Heights,530330120002002,44,6563
Arbor Heights,530330120002003,51,6563
Arbor Heights,530330120002004,61,6563
Arbor Heights,530330120002005,60,6563
Arbor Heights,530330120002006,36,6563
Arbor Heights,530330120002007,63,6563
Arbor Heights,530330120002008,69,6563
Arbor Heights,530330120002009,68,6563
Arbor Heights,530330120002010,68,6563
Arbor Heights,530330120002011,56,6563
Arbor Heights,530330120002012,64,6563
Arbor Heights,530330120002013,59,6563
Arbor Heights,530330120002014,41,6563
Arbor Heights,530330120002015,52,6563
Arbor Heights,530330120002016,60,6563
Arbor Heights,530330120002017,90,6563
Arbor Heights,530330120002018,32,6563
Arbor Heights,530330120002019,48,6563
Arbor Heights,530330120002020,40,6563
Arbor Heights,530330120002021,27,6563
Arbor Heights,530330120003000,41,6563
Arbor Heights,530330120003001,61,6563
Arbor Heights,530330120003002,51,6563
Arbor Heights,530330120003003,55,6563
Arbor Heights,530330120003004,43,6563
Arbor Heights,530330120003005,65,6563
Arbor Heights,530330120003006,67,6563
Arbor Heights,530330120003007,52,6563
Arbor Heights,530330120003008,53,6563
Arbor Heights,530330120003009,59,6563
Arbor Heights,530330120003010,48,6563
Arbor Heights,530330120003011,45,6563
Arbor Heights,530330120003012,64,6563
Arbor Heights,530330120003013,44,6563
Arbor Heights,530330120003014,35,6563
Arbor Heights,530330120003015,46,6563
Arbor Heights,530330120003016,50,6563
Arbor Heights,530330120003017,47,6563
Arbor Heights,530330120003018,50,6563
Arbor Heights,530330120003019,64,6563
Arbor Heights,530330120003020,52,6563
Arbor Heights,530330120003021,63,6563
Arbor Heights,530330121001005,4,6563
Arbor Heights,530330121001013,0,6563
Arbor Heights,530330121001014,217,6563
Arbor Heights,530330121001017,13,6563
Arbor Heights,530330121001019,85,6563
Arbor Heights,530330121001020,84,6563
Arbor Heights,530330121002000,99,6563
Arbor Heights,530330121002001,42,6563
Arbor Heights,530330121002002,55,6563
Arbor Heights,530330121002003,99,6563
Arbor Heights,530330121002004,97,6563
Arbor Heights,530330121002005,104,6563
Arbor Heights,530330121002006,42,6563
Arbor Heights,530330121002007,59,6563
Arbor Heights,530330121002008,182,6563
Arbor Heights,530330121002009,22,6563
Arbor Heights,530330121002010,190,6563
Arbor Heights,530330121002011,61,6563
Arbor Heights,530330121002012,109,6563
Arbor Heights,530330121002013,17,6563
Arbor Heights,530330121002014,128,6563
Arbor Heights,530330121002015,61,6563
Arbor Heights,530330121002016,58,6563
Arbor Heights,530330121002017,51,6563
Arbor Heights,530330121002018,76,6563
Arbor Heights,530330121002019,62,6563
Arbor Heights,530330121002020,0,6563
Arbor Heights,530330121002021,0,6563
Arbor Heights,530330266002005,192,6563
Arbor Heights,530330266002015,64,6563
Arbor Heights,530330267004001,48,6563
Arbor Heights,530330267004002,146,6563
Arbor Heights,530330267004010,249,6563
Arbor Heights,530330267004015,286,6563
Arbor Heights,530330267004016,0,6563
Atlantic,530330089003004,26,8710
Atlantic,530330089003005,43,8710
Atlantic,530330089003006,18,8710
Atlantic,530330089003007,32,8710
Atlantic,530330089003008,36,8710
Atlantic,530330089003009,166,8710
Atlantic,530330089003010,58,8710
Atlantic,530330089003011,135,8710
Atlantic,530330089003022,66,8710
Atlantic,530330089003023,83,8710
Atlantic,530330089003024,108,8710
Atlantic,530330089003025,17,8710
Atlantic,530330089003026,65,8710
Atlantic,530330089003027,0,8710
Atlantic,530330089003028,0,8710
Atlantic,530330089004000,137,8710
Atlantic,530330089004001,79,8710
Atlantic,530330089004002,120,8710
Atlantic,530330089004003,0,8710
Atlantic,530330089004004,115,8710
Atlantic,530330089004005,108,8710
Atlantic,530330089004006,45,8710
Atlantic,530330089004007,74,8710
Atlantic,530330089004008,63,8710
Atlantic,530330089004009,53,8710
Atlantic,530330089004010,83,8710
Atlantic,530330089004011,158,8710
Atlantic,530330089004012,61,8710
Atlantic,530330089004013,75,8710
Atlantic,530330089004014,78,8710
Atlantic,530330089004015,108,8710
Atlantic,530330089004016,101,8710
Atlantic,530330090001000,0,8710
Atlantic,530330090001001,0,8710
Atlantic,530330090001002,43,8710
Atlantic,530330090001003,23,8710
Atlantic,530330090001004,0,8710
Atlantic,530330090001005,0,8710
Atlantic,530330090001006,114,8710
Atlantic,530330090001007,30,8710
Atlantic,530330090001008,218,8710
Atlantic,530330090001009,135,8710
Atlantic,530330090001010,32,8710
Atlantic,530330090001011,47,8710
Atlantic,530330090001012,50,8710
Atlantic,530330090001013,0,8710
Atlantic,530330090001014,0,8710
Atlantic,530330090001016,36,8710
Atlantic,530330090001017,0,8710
Atlantic,530330090001018,21,8710
Atlantic,530330090001019,49,8710
Atlantic,530330090001020,15,8710
Atlantic,530330090001021,137,8710
Atlantic,530330090001022,130,8710
Atlantic,530330090001023,0,8710
Atlantic,530330090001028,284,8710
Atlantic,530330090002000,0,8710
Atlantic,530330090002001,77,8710
Atlantic,530330090002002,242,8710
Atlantic,530330090002003,377,8710
Atlantic,530330090002004,0,8710
Atlantic,530330090002005,233,8710
Atlantic,530330090002006,183,8710
Atlantic,530330090002007,231,8710
Atlantic,530330090002008,43,8710
Atlantic,530330090002009,97,8710
Atlantic,530330090002010,73,8710
Atlantic,530330090002011,60,8710
Atlantic,530330090003000,119,8710
Atlantic,530330090003001,62,8710
Atlantic,530330090003002,0,8710
Atlantic,530330090003003,145,8710
Atlantic,530330090003004,366,8710
Atlantic,530330090003005,49,8710
Atlantic,530330090003006,38,8710
Atlantic,530330090003007,34,8710
Atlantic,530330090003008,0,8710
Atlantic,530330090003009,139,8710
Atlantic,530330090003010,58,8710
Atlantic,530330090003011,62,8710
Atlantic,530330090003012,67,8710
Atlantic,530330094002000,133,8710
Atlantic,530330094002001,0,8710
Atlantic,530330094002014,0,8710
Atlantic,530330094002015,0,8710
Atlantic,530330094002016,1,8710
Atlantic,530330094002018,0,8710
Atlantic,530330094004000,64,8710
Atlantic,530330094004001,63,8710
Atlantic,530330094004002,118,8710
Atlantic,530330094004003,227,8710
Atlantic,530330094004008,174,8710
Atlantic,530330094004013,0,8710
Atlantic,530330094004014,57,8710
Atlantic,530330094004015,90,8710
Atlantic,530330094004016,89,8710
Atlantic,530330094004017,0,8710
Atlantic,530330094004018,0,8710
Atlantic,530330094004019,0,8710
Atlantic,530330094004024,0,8710
Atlantic,530330094004025,141,8710
Atlantic,530330094004026,70,8710
Atlantic,530330094004027,48,8710
Atlantic,530330095002004,9,8710
Atlantic,530330095002005,50,8710
Atlantic,530330095002006,60,8710
Atlantic,530330095002010,0,8710
Atlantic,530330095002011,0,8710
Atlantic,530330095002012,0,8710
Atlantic,530330095002017,72,8710
Atlantic,530330095002018,97,8710
Atlantic,530330095002019,67,8710
Atlantic,530330095002020,69,8710
