Name,GEOID20,TAPERSONS,total_TAPERSONS
Adams,530330031004019,59,22286
Adams,530330031004020,67,22286
Adams,530330031004021,59,22286
Adams,530330031004022,62,22286
Adams,530330031004023,37,22286
Adams,530330031004024,18,22286
Adams,530330031004025,25,22286
Adams,530330031004026,26,22286
Adams,530330031004027,23,22286
Adams,530330031004028,27,22286
Adams,530330032011000,14,22286
Adams,530330032011001,0,22286
Adams,530330032011002,11,22286
Adams,530330032011003,13,22286
Adams,530330032011004,0,22286
Adams,530330032011005,176,22286
Adams,530330032011006,0,22286
Adams,530330032011007,136,22286
Adams,530330032011008,122,22286
Adams,530330032011009,60,22286
Adams,530330032011010,36,22286
Adams,530330032011011,16,22286
Adams,530330032011012,37,22286
Adams,530330032011013,21,22286
Adams,530330032011014,56,22286
Adams,530330032011015,32,22286
Adams,530330032011016,24,22286
Adams,530330032011017,39,22286
Adams,530330032011018,12,22286
Adams,530330032011019,15,22286
Adams,530330032011020,0,22286
Adams,530330032011021,95,22286
Adams,530330032011022,202,22286
Adams,530330032011023,13,22286
Adams,530330032011024,24,22286
Adams,530330032011025,223,22286
Adams,530330032011026,0,22286
Adams,530330032011027,0,22286
Adams,530330032011028,0,22286
Adams,530330032012000,542,22286
Adams,530330032012001,90,22286
Adams,530330032012002,32,22286
Adams,530330032012003,75,22286
Adams,530330032012004,206,22286
Adams,530330032012005,45,22286
Adams,530330032012006,48,22286
Adams,530330032012007,46,22286
Adams,530330032012008,27,22286
Adams,530330032012009,46,22286
Adams,530330032012010,27,22286
Adams,530330032012011,66,22286
Adams,530330032012012,95,22286
Adams,530330032012013,0,22286
Adams,530330032012014,0,22286
Adams,530330032012015,0,22286
Adams,530330032012016,0,22286
Adams,530330032012017,0,22286
Adams,530330032012018,0,22286
Adams,530330032012019,54,22286
Adams,530330032012020,9,22286
Adams,530330032012021,63,22286
Adams,530330032012022,14,22286
Adams,530330032012023,41,22286
Adams,530330032012024,39,22286
Adams,530330032012025,15,22286
Adams,530330032012026,110,22286
Adams,530330032012027,21,22286
Adams,530330032012028,0,22286
Adams,530330032012029,0,22286
Adams,530330032012030,0,22286
Adams,530330032012031,60,22286
Adams,530330032012032,32,22286
Adams,530330032012033,55,22286
Adams,530330032013000,290,22286
Adams,530330032013001,184,22286
Adams,530330032013002,162,22286
Adams,530330032013003,267,22286
Adams,530330032013004,463,22286
Adams,530330032013005,124,22286
Adams,530330032021000,155,22286
Adams,530330032021001,89,22286
Adams,530330032021002,79,22286
Adams,530330032021003,59,22286
Adams,530330032021004,74,22286
Adams,530330032021005,71,22286
Adams,530330032021006,62,22286
Adams,530330032021007,71,22286
Adams,530330032021008,68,22286
Adams,530330032021009,57,22286
Adams,530330032021010,79,22286
Adams,530330032021011,76,22286
Adams,530330032021012,83,22286
Adams,530330032021013,128,22286
Adams,530330032021014,56,22286
Adams,530330032021015,58,22286
Adams,530330032021016,70,22286
Adams,530330032021017,37,22286
Adams,530330032021018,72,22286
Adams,530330032021019,119,22286
Adams,530330032021020,90,22286
Adams,530330032022000,120,22286
Adams,530330032022001,121,22286
Adams,530330032022002,65,22286
Adams,530330032022003,47,22286
Adams,530330032022004,55,22286
Adams,530330032022005,64,22286
Adams,530330032022006,65,22286
Adams,530330032022007,14,22286
Adams,530330032022008,130,22286
Adams,530330032022009,126,22286
Adams,530330032022010,139,22286
Adams,530330032022011,51,22286
Adams,530330032022012,86,22286
Adams,530330032022013,53,22286
Adams,530330032022014,119,22286
Adams,530330032022015,202,22286
Adams,530330032022016,79,22286
Adams,530330032022017,206,22286
Adams,530330032023000,65,22286
Adams,530330032023001,100,22286
Adams,530330032023002,62,22286
Adams,530330032023003,64,22286
Adams,530330032023004,9,22286
Adams,530330032023005,68,22286
Adams,530330032023006,55,22286
Adams,530330032023007,94,22286
Adams,530330032023008,30,22286
Adams,530330032023009,23,22286
Adams,530330032023010,45,22286
Adams,530330032023011,42,22286
Adams,530330032023012,77,22286
Adams,530330032023013,46,22286
Adams,530330032023014,38,22286
Adams,530330032023015,39,22286
Adams,530330032023016,77,22286
Adams,530330032023017,45,22286
Adams,530330032023018,28,22286
Adams,530330032023019,48,22286
Adams,530330032023020,50,22286
Adams,530330032023021,71,22286
Adams,530330032023022,35,22286
Adams,530330032023023,61,22286
Adams,530330032023024,39,22286
Adams,530330032023025,31,22286
Adams,530330032023026,22,22286
Adams,530330032023027,25,22286
Adams,530330033011000,64,22286
Adams,530330033011001,64,22286
Adams,530330033011002,78,22286
Adams,530330033011003,50,22286
Adams,530330033011004,62,22286
Adams,530330033011005,72,22286
Adams,530330033011006,65,22286
Adams,530330033011007,80,22286
Adams,530330033011008,183,22286
Adams,530330033011009,55,22286
Adams,530330033011010,76,22286
Adams,530330033011011,83,22286
Adams,530330033011012,82,22286
Adams,530330033011013,103,22286
Adams,530330033011014,188,22286
Adams,530330033012000,148,22286
