Name,GEOID20,TAPERSONS,total_TAPERSONS
Aki Kurose,530330101012009,32,51211
Aki Kurose,530330101012010,328,51211
Aki Kurose,530330101013008,0,51211
Aki Kurose,530330101013009,111,51211
Aki Kurose,530330101013010,41,51211
Aki Kurose,530330101013011,51,51211
Aki Kurose,530330101013012,63,51211
Aki Kurose,530330101013013,40,51211
Aki Kurose,530330101013014,53,51211
Aki Kurose,530330101013015,20,51211
Aki Kurose,530330101013016,26,51211
Aki Kurose,530330101013017,37,51211
Aki Kurose,530330101013018,58,51211
Aki Kurose,530330101013019,0,51211
Aki Kurose,530330101013020,158,51211
Aki Kurose,530330101013021,110,51211
Aki Kurose,530330101013027,0,51211
Aki Kurose,530330101013028,78,51211
Aki Kurose,530330101021002,24,51211
Aki Kurose,530330101021004,27,51211
Aki Kurose,530330101021006,44,51211
Aki Kurose,530330101021007,40,51211
Aki Kurose,530330101021008,39,51211
Aki Kurose,530330101021009,38,51211
Aki Kurose,530330101021011,32,51211
Aki Kurose,530330101021012,27,51211
Aki Kurose,530330101021013,44,51211
Aki Kurose,530330101021014,44,51211
Aki Kurose,530330101021015,41,51211
Aki Kurose,530330101021016,38,51211
Aki Kurose,530330101021017,36,51211
Aki Kurose,530330101021018,40,51211
Aki Kurose,530330101021019,23,51211
Aki Kurose,530330101021020,43,51211
Aki Kurose,530330101021021,54,51211
Aki Kurose,530330101021022,35,51211
Aki Kurose,530330101021023,22,51211
Aki Kurose,530330101021024,29,51211
Aki Kurose,530330101021025,36,51211
Aki Kurose,530330101021026,17,51211
Aki Kurose,530330101021027,0,51211
Aki Kurose,530330101021028,0,51211
Aki Kurose,530330101021029,0,51211
Aki Kurose,530330101021030,0,51211
Aki Kurose,530330101021031,33,51211
Aki Kurose,530330101021032,20,51211
Aki Kurose,530330101021033,42,51211
Aki Kurose,530330101021034,44,51211
Aki Kurose,530330101021035,22,51211
Aki Kurose,530330101021036,32,51211
Aki Kurose,530330101021037,36,51211
Aki Kurose,530330101021038,37,51211
Aki Kurose,530330101021039,27,51211
Aki Kurose,530330101021040,26,51211
Aki Kurose,530330101021041,29,51211
Aki Kurose,530330101021042,157,51211
Aki Kurose,530330101021043,38,51211
Aki Kurose,530330101022015,48,51211
Aki Kurose,530330101022016,70,51211
Aki Kurose,530330101022017,63,51211
Aki Kurose,530330101022018,71,51211
Aki Kurose,530330101022019,59,51211
Aki Kurose,530330101022020,54,51211
Aki Kurose,530330101022022,0,51211
Aki Kurose,530330101022023,0,51211
Aki Kurose,530330101022024,15,51211
Aki Kurose,530330101022025,78,51211
Aki Kurose,530330101022026,93,51211
Aki Kurose,530330101022027,31,51211
Aki Kurose,530330101022028,81,51211
Aki Kurose,530330101022029,73,51211
Aki Kurose,530330101022030,37,51211
Aki Kurose,530330101022031,34,51211
Aki Kurose,530330101022032,20,51211
Aki Kurose,530330101022033,28,51211
Aki Kurose,530330102001000,0,51211
Aki Kurose,530330102001001,0,51211
Aki Kurose,530330102001002,34,51211
Aki Kurose,530330102001003,24,51211
Aki Kurose,530330102001004,55,51211
Aki Kurose,530330102001005,0,51211
Aki Kurose,530330102001006,33,51211
Aki Kurose,530330102001007,59,51211
Aki Kurose,530330102001008,41,51211
Aki Kurose,530330102001009,42,51211
Aki Kurose,530330102001010,0,51211
Aki Kurose,530330102001011,34,51211
Aki Kurose,530330102001012,58,51211
Aki Kurose,530330102001013,36,51211
Aki Kurose,530330102001014,11,51211
Aki Kurose,530330102001015,30,51211
Aki Kurose,530330102001016,0,51211
Aki Kurose,530330102001017,0,51211
Aki Kurose,530330102001018,0,51211
Aki Kurose,530330102001019,0,51211
Aki Kurose,530330102001020,86,51211
Aki Kurose,530330102001021,0,51211
Aki Kurose,530330102001022,39,51211
Aki Kurose,530330102001023,90,51211
Aki Kurose,530330102001024,88,51211
Aki Kurose,530330102001025,38,51211
Aki Kurose,530330102001026,23,51211
Aki Kurose,530330102001027,78,51211
Aki Kurose,530330102001028,14,51211
Aki Kurose,530330102001029,34,51211
Aki Kurose,530330102001030,54,51211
Aki Kurose,530330102001031,36,51211
Aki Kurose,530330102001032,25,51211
Aki Kurose,530330102001033,44,51211
Aki Kurose,530330102001034,45,51211
Aki Kurose,530330102001035,0,51211
Aki Kurose,530330102001036,56,51211
Aki Kurose,530330102001037,138,51211
Aki Kurose,530330102001038,57,51211
Aki Kurose,530330102001039,43,51211
Aki Kurose,530330102001040,44,51211
Aki Kurose,530330102001041,45,51211
