Name,GEOID20,TAPERSONS,total_TAPERSONS
Ballard,530330015002007,18,44560
Ballard,530330015002013,30,44560
Ballard,530330030001000,92,44560
Ballard,530330030001001,45,44560
Ballard,530330030001002,75,44560
Ballard,530330030001003,83,44560
Ballard,530330030001004,62,44560
Ballard,530330030001005,72,44560
Ballard,530330030001006,79,44560
Ballard,530330030001007,77,44560
Ballard,530330030001008,0,44560
Ballard,530330030001009,0,44560
Ballard,530330030001010,85,44560
Ballard,530330030001011,77,44560
Ballard,530330030001012,69,44560
Ballard,530330030001013,81,44560
Ballard,530330030001014,74,44560
Ballard,530330030001015,0,44560
Ballard,530330030001016,0,44560
Ballard,530330030001017,82,44560
Ballard,530330030001018,54,44560
Ballard,530330030001019,66,44560
Ballard,530330030001020,61,44560
Ballard,530330030001021,79,44560
Ballard,530330030001022,70,44560
Ballard,530330030001023,65,44560
Ballard,530330030001024,72,44560
Ballard,530330030001025,55,44560
Ballard,530330030001026,85,44560
Ballard,530330030001027,0,44560
Ballard,530330030001028,90,44560
Ballard,530330030002000,99,44560
Ballard,530330030002001,86,44560
Ballard,530330030002002,93,44560
Ballard,530330030002003,60,44560
Ballard,530330030002004,13,44560
Ballard,530330030002005,59,44560
Ballard,530330030002006,93,44560
Ballard,530330030002007,64,44560
Ballard,530330030002008,99,44560
Ballard,530330030002009,59,44560
Ballard,530330030002010,82,44560
Ballard,530330030002011,80,44560
Ballard,530330030002012,56,44560
Ballard,530330030002013,72,44560
Ballard,530330030002014,80,44560
Ballard,530330030002015,147,44560
Ballard,530330030002016,60,44560
Ballard,530330030002017,65,44560
Ballard,530330030002018,99,44560
Ballard,530330030002019,72,44560
Ballard,530330030003000,87,44560
Ballard,530330030003001,68,44560
Ballard,530330030003002,66,44560
Ballard,530330030003003,85,44560
Ballard,530330030003004,47,44560
Ballard,530330030003005,110,44560
Ballard,530330030003006,74,44560
Ballard,530330030003007,27,44560
Ballard,530330030003008,86,44560
Ballard,530330030003009,57,44560
Ballard,530330030003010,79,44560
Ballard,530330030003011,73,44560
Ballard,530330030003012,68,44560
Ballard,530330030003013,69,44560
Ballard,530330030003014,53,44560
Ballard,530330030003015,80,44560
Ballard,530330030003016,189,44560
Ballard,530330030003017,103,44560
Ballard,530330030003018,102,44560
Ballard,530330030003019,87,44560
Ballard,530330030003020,77,44560
Ballard,530330030003021,90,44560
Ballard,530330030004000,67,44560
Ballard,530330030004001,67,44560
Ballard,530330030004002,70,44560
Ballard,530330030004003,74,44560
Ballard,530330030004004,64,44560
Ballard,530330030004005,83,44560
Ballard,530330030004006,80,44560
Ballard,530330030004007,74,44560
Ballard,530330030004008,64,44560
Ballard,530330030004009,62,44560
Ballard,530330030004010,92,44560
Ballard,530330030004011,80,44560
Ballard,530330030004012,93,44560
Ballard,530330030004013,74,44560
Ballard,530330030004014,68,44560
Ballard,530330030004015,59,44560
Ballard,530330030004016,75,44560
Ballard,530330030004017,57,44560
Ballard,530330030004018,76,44560
Ballard,530330030004019,53,44560
Ballard,530330031001000,90,44560
Ballard,530330031001001,79,44560
Ballard,530330031001002,55,44560
Ballard,530330031001003,70,44560
Ballard,530330031001004,55,44560
Ballard,530330031001005,65,44560
Ballard,530330031001006,72,44560
Ballard,530330031001007,57,44560
Ballard,530330031001008,77,44560
Ballard,530330031001009,70,44560
Ballard,530330031001010,67,44560
Ballard,530330031001011,79,44560
Ballard,530330031001012,90,44560
Ballard,530330031001013,73,44560
Ballard,530330031001014,68,44560
Ballard,530330031001015,65,44560
Ballard,530330031001016,28,44560
Ballard,530330031001017,56,44560
Ballard,530330031002000,63,44560
Ballard,530330031002001,45,44560
Ballard,530330031002002,46,44560
Ballard,530330031002003,60,44560
Ballard,530330031002004,98,44560
Ballard,530330031002005,77,44560
Ballard,530330031002006,82,44560
Ballard,530330031002007,82,44560
Ballard,530330031002008,0,44560
Ballard,530330031002009,69,44560
Ballard,530330031002010,70,44560
Ballard,530330031002011,61,44560
Ballard,530330031002012,95,44560
Ballard,530330031002013,54,44560
Ballard,530330031002014,77,44560
Ballard,530330031002015,71,44560
Ballard,530330031002016,56,44560
Ballard,530330031002017,75,44560
Ballard,530330031003000,0,44560
Ballard,530330031003001,90,44560
Ballard,530330031003002,65,44560
Ballard,530330031003003,113,44560
Ballard,530330031003004,132,44560
Ballard,530330031003005,74,44560
Ballard,530330031003006,70,44560
Ballard,530330031003007,73,44560
Ballard,530330031003008,85,44560
Ballard,530330031003009,76,44560
Ballard,530330031003010,80,44560
Ballard,530330031003011,52,44560
Ballard,530330031003012,66,44560
Ballard,530330031003013,69,44560
Ballard,530330031003014,72,44560
Ballard,530330031003015,78,44560
Ballard,530330031003016,82,44560
Ballard,530330031004000,75,44560
Ballard,530330031004001,71,44560
Ballard,530330031004002,85,44560
Ballard,530330031004003,74,44560
Ballard,530330031004004,61,44560
Ballard,530330031004005,48,44560
Ballard,530330031004006,53,44560
Ballard,530330031004007,61,44560
Ballard,530330031004008,61,44560
Ballard,530330031004009,65,44560
Ballard,530330031004010,63,44560
Ballard,530330031004011,68,44560
Ballard,530330031004012,75,44560
Ballard,530330031004013,63,44560
Ballard,530330031004014,27,44560
Ballard,530330031004015,39,44560
Ballard,530330031004016,27,44560
Ballard,530330031004017,34,44560
Ballard,530330031004018,67,44560
Ballard,530330031004019,59,44560
Ballard,530330031004020,67,44560
Ballard,530330031004021,59,44560
Ballard,530330031004022,62,44560
Ballard,530330031004023,37,44560
Ballard,530330031004024,18,44560
Ballard,530330031004025,25,44560
Ballard,530330031004026,26,44560
Ballard,530330031004027,23,44560
Ballard,530330031004028,27,44560
Ballard,530330031005000,0,44560
Ballard,530330031005001,0,44560
Ballard,530330031005002,0,44560
Ballard,530330031005003,0,44560
Ballard,530330031005004,146,44560
Ballard,530330031005005,66,44560
Ballard,530330031005006,118,44560
Ballard,530330031005007,28,44560
Ballard,530330031005008,83,44560
Ballard,530330031005009,97,44560
Ballard,530330031005010,89,44560
Ballard,530330031005011,56,44560
Ballard,530330031005012,34,44560
Ballard,530330031005013,49,44560
Ballard,530330031005014,63,44560
Ballard,530330031005015,65,44560
Ballard,530330031005016,56,44560
Ballard,530330031005017,63,44560
Ballard,530330031005018,54,44560
Ballard,530330031005019,63,44560
Ballard,530330031005020,72,44560
Ballard,530330031005021,77,44560
Ballard,530330031005022,51,44560
Ballard,530330031005023,0,44560
Ballard,530330031005024,22,44560
Ballard,530330032011000,14,44560
Ballard,530330032011001,0,44560
Ballard,530330032011002,11,44560
Ballard,530330032011003,13,44560
Ballard,530330032011004,0,44560
Ballard,530330032011005,176,44560
Ballard,530330032011006,0,44560
Ballard,530330032011007,136,44560
Ballard,530330032011008,122,44560
Ballard,530330032011009,60,44560
Ballard,530330032011010,36,44560
Ballard,530330032011011,16,44560
Ballard,530330032011012,37,44560
Ballard,530330032011013,21,44560
Ballard,530330032011014,56,44560
Ballard,530330032011015,32,44560
Ballard,530330032011016,24,44560
Ballard,530330032011017,39,44560
Ballard,530330032011018,12,44560
Ballard,530330032011019,15,44560
Ballard,530330032011020,0,44560
Ballard,530330032011021,95,44560
Ballard,530330032011022,202,44560
Ballard,530330032011023,13,44560
Ballard,530330032011024,24,44560
Ballard,530330032011025,223,44560
Ballard,530330032011026,0,44560
Ballard,530330032011027,0,44560
