Name,GEOID20,TAPERSONS,total_TAPERSONS
Alki/Admiral,530330096001000,138,11806
Alki/Admiral,530330096001001,6,11806
Alki/Admiral,530330096001002,14,11806
Alki/Admiral,530330096001003,0,11806
Alki/Admiral,530330096001004,52,11806
Alki/Admiral,530330096001005,110,11806
Alki/Admiral,530330096001006,33,11806
Alki/Admiral,530330096001007,118,11806
Alki/Admiral,530330096001008,25,11806
Alki/Admiral,530330096001009,43,11806
Alki/Admiral,530330096001010,24,11806
Alki/Admiral,530330096001011,89,11806
Alki/Admiral,530330096001012,23,11806
Alki/Admiral,530330096001013,37,11806
Alki/Admiral,530330096001014,15,11806
Alki/Admiral,530330096001015,52,11806
Alki/Admiral,530330096001016,62,11806
Alki/Admiral,530330096001017,216,11806
Alki/Admiral,530330096001018,64,11806
Alki/Admiral,530330096001019,231,11806
Alki/Admiral,530330096001020,15,11806
Alki/Admiral,530330096001021,41,11806
Alki/Admiral,530330096001022,60,11806
Alki/Admiral,530330096001023,55,11806
Alki/Admiral,530330096002000,0,11806
Alki/Admiral,530330096002001,0,11806
Alki/Admiral,530330096002002,0,11806
Alki/Admiral,530330096002003,0,11806
Alki/Admiral,530330096002004,693,11806
Alki/Admiral,530330096002005,37,11806
Alki/Admiral,530330096002006,20,11806
Alki/Admiral,530330096002007,48,11806
Alki/Admiral,530330096002008,39,11806
Alki/Admiral,530330096002009,75,11806
Alki/Admiral,530330096002010,0,11806
Alki/Admiral,530330096002011,198,11806
Alki/Admiral,530330096002012,0,11806
Alki/Admiral,530330096002013,0,11806
Alki/Admiral,530330096002014,0,11806
Alki/Admiral,530330096002015,0,11806
Alki/Admiral,530330096002016,0,11806
Alki/Admiral,530330096002017,0,11806
Alki/Admiral,530330096002018,35,11806
Alki/Admiral,530330096002019,24,11806
Alki/Admiral,530330096002020,45,11806
Alki/Admiral,530330096002021,21,11806
Alki/Admiral,530330096002022,34,11806
Alki/Admiral,530330096002023,43,11806
Alki/Admiral,530330096002024,86,11806
Alki/Admiral,530330096002025,28,11806
Alki/Admiral,530330096003000,25,11806
Alki/Admiral,530330096003001,0,11806
Alki/Admiral,530330096003002,90,11806
Alki/Admiral,530330096003003,18,11806
Alki/Admiral,530330096003004,69,11806
Alki/Admiral,530330096003005,150,11806
Alki/Admiral,530330096003006,77,11806
Alki/Admiral,530330096003007,133,11806
Alki/Admiral,530330096003008,115,11806
Alki/Admiral,530330096003009,51,11806
Alki/Admiral,530330096003010,54,11806
Alki/Admiral,530330096003011,57,11806
Alki/Admiral,530330096003012,30,11806
Alki/Admiral,530330096003013,37,11806
Alki/Admiral,530330096003014,67,11806
Alki/Admiral,530330096003015,55,11806
Alki/Admiral,530330096003016,54,11806
Alki/Admiral,530330096003017,44,11806
Alki/Admiral,530330096003018,79,11806
Alki/Admiral,530330096003019,154,11806
Alki/Admiral,530330096003020,49,11806
Alki/Admiral,530330096003021,54,11806
Alki/Admiral,530330096004000,109,11806
Alki/Admiral,530330096004001,139,11806
Alki/Admiral,530330096004002,63,11806
Alki/Admiral,530330096004003,47,11806
Alki/Admiral,530330096004004,9,11806
Alki/Admiral,530330096004005,26,11806
Alki/Admiral,530330096004006,36,11806
Alki/Admiral,530330096004007,73,11806
Alki/Admiral,530330096004008,91,11806
Alki/Admiral,530330096004009,69,11806
Alki/Admiral,530330096004010,72,11806
Alki/Admiral,530330096004011,115,11806
Alki/Admiral,530330096004012,52,11806
Alki/Admiral,530330096004013,42,11806
Alki/Admiral,530330096004014,43,11806
Alki/Admiral,530330096004015,16,11806
Alki/Admiral,530330096004016,35,11806
Alki/Admiral,530330096004017,60,11806
Alki/Admiral,530330096004018,70,11806
Alki/Admiral,530330096004019,96,11806
Alki/Admiral,530330096004020,0,11806
Alki/Admiral,530330096004021,32,11806
Alki/Admiral,530330096004022,17,11806
Alki/Admiral,530330096004023,30,11806
Alki/Admiral,530330096004024,27,11806
Alki/Admiral,530330096004025,14,11806
Alki/Admiral,530330096004026,55,11806
Alki/Admiral,530330097011000,0,11806
Alki/Admiral,530330097011001,0,11806
Alki/Admiral,530330097011002,0,11806
Alki/Admiral,530330097011003,89,11806
Alki/Admiral,530330097011004,30,11806
Alki/Admiral,530330097011005,186,11806
Alki/Admiral,530330097011006,78,11806
Alki/Admiral,530330097011007,0,11806
Alki/Admiral,530330097011008,179,11806
Alki/Admiral,530330097011009,75,11806
Alki/Admiral,530330097011010,89,11806
Alki/Admiral,530330097011011,188,11806
Alki/Admiral,530330097011012,140,11806
Alki/Admiral,530330097011013,43,11806
Alki/Admiral,530330097011014,144,11806
Alki/Admiral,530330097011015,89,11806
Alki/Admiral,530330097011016,29,11806
Alki/Admiral,530330097011017,9,11806
Alki/Admiral,530330097011018,26,11806
Alki/Admiral,530330097011019,19,11806
Alki/Admiral,530330097012000,59,11806
Alki/Admiral,530330097012001,27,11806
Alki/Admiral,530330097012002,68,11806
Alki/Admiral,530330097012003,35,11806
Alki/Admiral,530330097012004,29,11806
Alki/Admiral,530330097012005,26,11806
Alki/Admiral,530330097012006,61,11806
Alki/Admiral,530330097012007,23,11806
Alki/Admiral,530330097012008,20,11806
Alki/Admiral,530330097012009,43,11806
