GEOID20,District
530330032012015,6
530330032012016,6
530330057001000,6
530330057001001,6
530330057001002,6
530330057001003,6
530330057001004,6
530330057001012,6
530330057001013,6
530330057001014,6
530330057001015,6
530330057001016,6
530330057001017,6
530330057001018,6
530330057001019,6
530330057001020,6
530330057001021,6
530330057001022,6
530330057001023,6
530330057001024,6
530330057001025,6
530330057001026,6
530339901000010,6
530339901000012,6
530339901000013,6
530339901000014,6
530339901000015,6
530339901000027,6
530330057001005,6
530330057001006,6
530330057001007,6
530330057001008,6
530330057001009,6
530330057001010,6
530330057001011,6
530330057005000,6
530330057005001,6
530330057005002,6
530330057005003,6
530330057001027,6
530330057005013,6
530330057005014,6
530330057005015,6
530330057005016,6
530330057005017,6
530330057005005,6
530330057005006,6
530330057005007,6
530330057005008,6
530330057005009,6
530330057005010,6
530330057005011,6
530330057005012,6
530330057005018,6
530330057005019,6
530330058013005,6
530330057005004,6
530330058014013,6
530330058014014,6
530330058014015,6
530330058014016,6
530330058014017,6
530330058014018,6
530330058014019,6
530330058014020,6
530330058014021,6
530330058014022,6
530330058014023,6
530330058014044,6
530330058013000,6
530330058013001,6
530330058013014,6
530330058013015,6
530330058013016,6
530330058013017,6
530330058014000,6
530330058014001,6
530330058014002,6
530330058014003,6
530330058014004,6
530330058014005,6
530330058014006,6
530330058014007,6
530330058014008,6
530330058014009,6
530330058014010,6
530330058014011,6
530330058014012,6
530330058014024,6
530330058014025,6
530330058014026,6
530330058014027,6
530330058014030,6
530330058014031,6
530330058014043,6
530330058011000,6
530330058011003,6
530330058011004,6
530330058011005,6
530330058011006,6
530330058011007,6
530330058011008,6
530330058011009,6
530330058014028,6
530330058014029,6
530330058014036,6
530330058014037,6
530330058014038,6
530330058014039,6
530330058014040,6
530330058014042,6
530330058032017,6
530330058041000,6
530330058041001,6
530330058041002,6
530330058041003,6
530330058041004,6
530330058041005,6
530330058041009,6
530330058041013,6
530330058032011,6
530330058032012,6
530330058032014,6
530330058032015,6
530330058032016,6
530330058032018,6
530330058032019,6
530330058032020,6
530330058032021,6
530330058032022,6
530330058032023,6
530330056003018,6
530330056003034,6
530330056003035,6
530330056003036,6
530330056003037,6
530330056005013,6
