votdst,GEOID20,TAPERSONS,total_TAPERSONS,fraction
0022,530330260013004,258,578,0.4463667820069204
0022,530330260013013,167,578,0.2889273356401384
0022,530330260013014,153,578,0.2647058823529412
0271,530330261021000,40,591,0.0676818950930626
0271,530330261021002,434,591,0.7343485617597293
0271,530330261021009,117,591,0.19796954314720813
0283,530330261012001,275,465,0.5913978494623656
0283,530330261012002,114,465,0.24516129032258063
0283,530330261012003,76,465,0.16344086021505377
0336,530330119022012,83,111,0.7477477477477478
0336,530330260011005,28,111,0.25225225225225223
0469,530330265001003,50,50,1.0
0568,530330112002017,13,22,0.5909090909090909
0568,530330112002018,9,22,0.4090909090909091
0956,530330266001000,10,272,0.03676470588235294
0956,530330266001001,60,272,0.22058823529411764
0956,530330266001002,22,272,0.08088235294117647
0956,530330266001004,77,272,0.28308823529411764
0956,530330266001005,45,272,0.16544117647058823
0956,530330266002010,58,272,0.21323529411764705
1064,530330267004010,249,249,1.0
1082,530330267004015,286,286,1.0
1131,530330266002001,39,415,0.09397590361445783
1131,530330266002002,35,415,0.08433734939759036
1131,530330266002003,69,415,0.16626506024096385
1131,530330266002004,80,415,0.1927710843373494
1131,530330266002005,192,415,0.46265060240963857
1215,530330265001008,142,865,0.16416184971098266
1215,530330265001009,10,865,0.011560693641618497
1215,530330265001010,187,865,0.2161849710982659
1215,530330265001017,175,865,0.2023121387283237
1215,530330265001018,39,865,0.04508670520231214
1215,530330265002000,89,865,0.10289017341040463
1215,530330265002003,120,865,0.13872832369942195
1215,530330265002005,81,865,0.09364161849710982
1215,530330265002007,22,865,0.025433526011560695
1245,530330113001011,87,841,0.10344827586206896
1245,530330113005000,125,841,0.14863258026159334
1245,530330113005001,114,841,0.13555291319857313
1245,530330113005002,92,841,0.10939357907253269
1245,530330113005004,60,841,0.0713436385255648
1245,530330113005005,60,841,0.0713436385255648
1245,530330113005006,47,841,0.0558858501783591
1245,530330113005007,73,841,0.08680142687277051
1245,530330113005008,46,841,0.054696789536266346
1245,530330113005009,55,841,0.06539833531510107
1245,530330113005010,82,841,0.09750297265160524
1246,530330113003004,59,581,0.10154905335628227
1246,530330113004003,58,581,0.09982788296041308
1246,530330113004004,85,581,0.14629948364888123
1246,530330113004005,49,581,0.08433734939759036
1246,530330113004006,59,581,0.10154905335628227
1246,530330113004014,56,581,0.0963855421686747
1246,530330113004015,102,581,0.17555938037865748
1246,530330113004016,62,581,0.10671256454388985
1246,530330113005015,51,581,0.08777969018932874
1247,530330114012000,153,828,0.18478260869565216
1247,530330114012007,130,828,0.1570048309178744
1247,530330114013006,93,828,0.11231884057971014
1247,530330114013007,88,828,0.10628019323671498
1247,530330114013008,88,828,0.10628019323671498
1247,530330114013013,73,828,0.08816425120772947
1247,530330114013014,67,828,0.08091787439613526
1247,530330114013015,72,828,0.08695652173913043
1247,530330114013016,64,828,0.07729468599033816
1248,530330114021004,200,864,0.23148148148148148
1248,530330114021005,51,864,0.059027777777777776
1248,530330114021006,86,864,0.09953703703703703
1248,530330114021008,89,864,0.10300925925925926
1248,530330114021009,103,864,0.11921296296296297
1248,530330114021010,33,864,0.03819444444444445
1248,530330114021011,62,864,0.07175925925925926
1248,530330114021012,60,864,0.06944444444444445
1248,530330114021013,51,864,0.059027777777777776
1248,530330114021014,129,864,0.14930555555555555
1249,530330114013017,55,1092,0.05036630036630037
1249,530330114013018,64,1092,0.05860805860805861
1249,530330114013019,66,1092,0.06043956043956044
1249,530330114021000,67,1092,0.06135531135531135
1249,530330114021001,65,1092,0.05952380952380952
1249,530330114021002,65,1092,0.05952380952380952
1249,530330114021003,134,1092,0.1227106227106227
1249,530330114022000,194,1092,0.17765567765567766
1249,530330114022001,214,1092,0.19597069597069597
1249,530330114022002,168,1092,0.15384615384615385
1250,530330113003002,65,551,0.11796733212341198
1250,530330113003003,50,551,0.09074410163339383
1250,530330113003005,62,551,0.11252268602540835
1250,530330113003006,69,551,0.12522686025408347
1250,530330113003007,16,551,0.029038112522686024
1250,530330113003008,66,551,0.11978221415607986
1250,530330113003009,73,551,0.132486388384755
1250,530330113003010,44,551,0.07985480943738657
1250,530330113003011,60,551,0.1088929219600726
1250,530330113004009,46,551,0.08348457350272233
1251,530330113001013,143,887,0.161217587373168
1251,530330113001020,481,887,0.5422773393461104
1251,530330113002000,53,887,0.05975197294250282
1251,530330113002001,68,887,0.07666290868094701
1251,530330265001002,74,887,0.0834272829763247
