NAME,GEOID20,TAPERSONS,total_TAPERSONS
SEA 11-1256,530330112001001,162,1428
SEA 11-1256,530330112001002,0,1428
SEA 11-1256,530330112001003,8,1428
SEA 11-1256,530330112001004,123,1428
SEA 11-1256,530330112001005,110,1428
SEA 11-1256,530330112001006,65,1428
SEA 11-1256,530330112001007,68,1428
SEA 11-1256,530330112001008,0,1428
SEA 11-1256,530330112001009,58,1428
SEA 11-1256,530330112001010,57,1428
SEA 11-1256,530330112001011,120,1428
SEA 11-1256,530330112001012,68,1428
SEA 11-1256,530330112001013,64,1428
SEA 11-1256,530330112001014,103,1428
SEA 11-1256,530330112001015,58,1428
SEA 11-1256,530330112001016,57,1428
SEA 11-1256,530330112001017,307,1428
SEA 11-1256,530330112002028,0,1428
SEA 11-1256,530330112002029,0,1428
SEA 11-1256,530330264001014,0,1428
SEA 11-1256,530330264001015,0,1428
SEA 11-1256,530330264003000,0,1428
SEA 11-1256,530330264003001,0,1428
SEA 11-1256,530330264004000,0,1428
SEA 11-1550,530330112002030,40,1530
SEA 11-1550,530330112002031,102,1530
SEA 11-1550,530330112002041,32,1530
SEA 11-1550,530330112002042,64,1530
SEA 11-1550,530330112002043,124,1530
SEA 11-1550,530330112003000,115,1530
SEA 11-1550,530330112003001,49,1530
SEA 11-1550,530330112003002,33,1530
SEA 11-1550,530330112003003,25,1530
SEA 11-1550,530330112003004,509,1530
SEA 11-1550,530330112003005,70,1530
SEA 11-1550,530330112003006,45,1530
SEA 11-1550,530330112003007,117,1530
SEA 11-1550,530330112003008,0,1530
SEA 11-1550,530330112003009,102,1530
SEA 11-1550,530330264001001,61,1530
SEA 11-1550,530330264001002,42,1530
SEA 11-1550,530330264001013,0,1530
SEA 11-1552,530330112001000,0,895
SEA 11-1552,530330112002004,0,895
SEA 11-1552,530330112002005,23,895
SEA 11-1552,530330112002006,0,895
SEA 11-1552,530330112002007,67,895
SEA 11-1552,530330112002008,0,895
SEA 11-1552,530330112002009,0,895
SEA 11-1552,530330112002010,0,895
SEA 11-1552,530330112002011,0,895
SEA 11-1552,530330112002012,20,895
SEA 11-1552,530330112002013,0,895
