NAME,GEOID20,TAPERSONS,total_TAPERSONS,fraction
SEA 11-1256,530330112001001,162,1428,0.1134453781512605
SEA 11-1256,530330112001003,8,1428,0.0056022408963585435
SEA 11-1256,530330112001004,123,1428,0.0861344537815126
SEA 11-1256,530330112001005,110,1428,0.07703081232492998
SEA 11-1256,530330112001006,65,1428,0.04551820728291316
SEA 11-1256,530330112001007,68,1428,0.047619047619047616
SEA 11-1256,530330112001009,58,1428,0.04061624649859944
SEA 11-1256,530330112001010,57,1428,0.03991596638655462
SEA 11-1256,530330112001011,120,1428,0.08403361344537816
SEA 11-1256,530330112001012,68,1428,0.047619047619047616
SEA 11-1256,530330112001013,64,1428,0.04481792717086835
SEA 11-1256,530330112001014,103,1428,0.07212885154061624
SEA 11-1256,530330112001015,58,1428,0.04061624649859944
SEA 11-1256,530330112001016,57,1428,0.03991596638655462
SEA 11-1256,530330112001017,307,1428,0.21498599439775912
SEA 11-1550,530330112002030,40,1530,0.026143790849673203
SEA 11-1550,530330112002031,102,1530,0.06666666666666667
SEA 11-1550,530330112002041,32,1530,0.02091503267973856
SEA 11-1550,530330112002042,64,1530,0.04183006535947712
SEA 11-1550,530330112002043,124,1530,0.08104575163398693
SEA 11-1550,530330112003000,115,1530,0.07516339869281045
SEA 11-1550,530330112003001,49,1530,0.03202614379084967
SEA 11-1550,530330112003002,33,1530,0.021568627450980392
SEA 11-1550,530330112003003,25,1530,0.016339869281045753
SEA 11-1550,530330112003004,509,1530,0.3326797385620915
SEA 11-1550,530330112003005,70,1530,0.0457516339869281
SEA 11-1550,530330112003006,45,1530,0.029411764705882353
SEA 11-1550,530330112003007,117,1530,0.07647058823529412
SEA 11-1550,530330112003009,102,1530,0.06666666666666667
SEA 11-1550,530330264001001,61,1530,0.03986928104575163
SEA 11-1550,530330264001002,42,1530,0.027450980392156862
SEA 11-1552,530330112002005,23,895,0.02569832402234637
SEA 11-1552,530330112002007,67,895,0.07486033519553073
SEA 11-1552,530330112002012,20,895,0.0223463687150838
SEA 11-1552,530330112002017,13,895,0.01452513966480447
SEA 11-1552,530330112002018,9,895,0.01005586592178771
SEA 11-1552,530330112002019,41,895,0.04581005586592179
SEA 11-1552,530330112002020,74,895,0.08268156424581005
SEA 11-1552,530330112002021,48,895,0.053631284916201116
SEA 11-1552,530330112002023,78,895,0.08715083798882682
SEA 11-1552,530330112002032,48,895,0.053631284916201116
SEA 11-1552,530330112002033,83,895,0.09273743016759776
SEA 11-1552,530330112002034,49,895,0.054748603351955305
SEA 11-1552,530330112002035,33,895,0.03687150837988827
